AnyID,lat,lon
1,33.54734,-79.57359
2,33.7749,-79.5203
3,33.51542,-80.07797
4,33.5031,-79.5442
5,33.92628,-79.07416
6,33.91283,-79.10169
7,33.92787,-78.91409
8,33.8944,-78.99348
9,33.61596,-79.72023
10,33.73904,-79.30842
11,33.8657,-79.2282
12,34.0803,-79.413
13,33.63999,-79.7842
14,33.80998,-79.7058
15,33.61127,-80.02826
16,33.922,-78.84
17,33.68695,-79.83278
18,33.50272,-79.81407
19,34.04,-78.92
20,33.72024,-79.43518
21,33.9245,-78.95988
22,33.41851,-79.78762
23,33.51818,-79.65702
24,33.61545,-79.36056
25,33.72331,-79.87344
26,33.76461,-79.75017
27,33.422,-79.78514
28,33.84895,-79.84004
29,33.95328,-78.89472
30,33.63803,-79.72051
31,33.53189,-79.78737
32,33.50673,-79.78419
33,33.51956,-79.86418
34,33.86906,-78.67646
35,33.53806,-79.93989
36,33.43926,-79.60888
37,33.61037,-79.67318
38,33.52165,-79.78948
39,33.923,-78.744
40,33.74938,-79.64249
41,33.86313,-78.94847
42,33.88001,-79.33566
43,34.03563,-78.99332
44,33.52652,-80.01845
45,33.67883,-79.9912
46,33.64956,-79.95976
47,33.84289,-79.83553
48,33.78994,-79.13924
49,33.96889,-79.14722
50,33.59133,-79.73019
51,33.638,-79.76749
52,33.62168,-79.76696
53,33.60426,-79.74471
54,33.6021,-79.7703
55,33.61653,-79.79668
56,33.8297,-79.88213
57,33.71335,-79.79664
58,34.07591,-78.94416
59,34.57657,-79.4112
60,33.6716,-79.84931
61,33.67222,-79.11861
62,34.00489,-79.43875
63,33.92583,-78.96896
64,33.71466,-78.91581
65,33.9175,-78.65194
66,33.65306,-79.87795
67,33.80043,-79.89388
68,33.73219,-79.92688
69,33.91911,-78.72711
70,33.60413,-79.8146
71,33.76472,-79.70908
72,34.28842,-79.15487
73,33.6805,-79.28522
74,33.75919,-79.09163
75,34.0193,-79.34932
76,33.67861,-79.11944
77,34.00421,-79.05168
78,33.51351,-79.65256
79,33.92795,-79.0393
80,33.09632,-80.03499
81,33.71916,-79.69152
82,33.53935,-79.62425
83,33.74029,-79.11538
84,33.63642,-79.73506
85,34.00792,-79.21756
86,33.97075,-79.08589
87,33.61905,-79.67071
88,34.01433,-79.10044
89,34.06821,-79.30587
90,33.98499,-79.16006
91,33.96397,-79.13006
92,33.97865,-79.09311
93,34.03617,-79.13624
94,33.89784,-79.23509
95,33.55065,-79.61169
96,33.55253,-79.70611
97,33.5463,-79.54078
98,33.78908,-79.76492
99,33.6074,-80.02625
100,33.76768,-79.6825
101,33.78121,-79.44407
102,33.9261,-78.76217
103,33.53299,-79.97169
104,33.17789,-79.91325
105,33.60016,-79.5367
106,34.29304,-79.39396
107,34.96372,-81.10603
108,33.52418,-79.38571
109,33.62497,-79.71131
110,37.132,-77.107
111,31.91137,-83.25488
112,33.22421,-79.95891
113,33.37898,-87.70314
114,33.5587,-93.40194
115,32.51042,-93.99566
116,32.96346,-80.52519
117,35.50756,-81.51098
118,33.74905,-79.63321
119,33.00979,-94.68052
120,33.22095,-94.40895
121,32.86175,-90.18042
122,32.58917,-84.2005
123,33.1497,-89.00741
124,32.98259,-88.2328
125,32.75169,-93.54591
126,33.0288,-94.07851
127,34.50254,-95.22146
128,33.86068,-87.30834
129,34.28047,-87.31927
130,34.59367,-87.02473
131,33.44609,-86.05756
132,33.92635,-84.8595
133,34.86926,-85.7883
134,34.23238,-86.18494
135,33.32816,-86.36081
136,35.29738,-84.75248
137,33.61026,-85.97198
138,34.0481,-86.7567
139,33.8571,-87.31036
140,33.77327,-86.04036
141,33.2506,-85.81531
142,33.37019,-86.32519
143,34.55758,-85.81827
144,34.06422,-85.60821
145,33.63603,-86.82335
146,32.87804,-85.81617
147,33.0469,-84.1274
148,32.71393,-82.87952
149,34.4098,-85.2285
150,33.50502,-84.93589
151,32.68814,-80.64244
152,32.73176,-93.94088
153,33.48437,-80.69079
154,32.8757,-89.0809
155,33.10943,-94.50399
156,31.73847,-94.79091
157,33.41704,-94.67666
158,34.06706,-94.40254
159,34.84716,-95.15312
160,32.72558,-93.89986
161,32.71146,-81.81604
162,33.19831,-94.0839
163,33.19831,-94.0839
164,32.90402,-95.19579
165,32.49119,-86.05273
166,32.1542,-90.7691
167,31.82837,-87.55994
168,32.12865,-86.0589
169,32.00128,-86.18845
170,33.35358,-80.12487
171,32.4254,-93.484
172,34.63429,-82.56151
173,33.31897,-82.88558
174,33.20531,-86.40007
175,34.63407,-82.56028
176,33.02312,-80.36813
177,32.70515,-95.03171
178,32.74512,-94.29927
179,33.65121,-82.02249
180,33.1069,-79.77528
181,33.15768,-80.2398
182,33.03469,-79.8523
183,33.40676,-80.0424
184,33.2055,-79.63039
185,33.46509,-79.9228
186,33.136,-79.75731
187,32.95789,-79.75541
188,33.12411,-79.85733
189,33.1047,-79.78058
190,33.0774,-80.12231
191,32.86745,-93.50069
192,34.05923,-95.15218
193,31.6874,-89.95548
194,34.6327,-82.56184
195,32.71196,-90.93153
196,33.1513,-89.89019
197,33.9754,-93.66472
198,33.75404,-82.54554
199,33.0706,-90.2399
200,33.0706,-90.2399
201,33.25401,-80.6068
202,33.05353,-80.60854
203,32.1203,-90.79609
204,32.29308,-92.81441
205,33.20087,-94.01264
206,32.9943,-79.62321
207,33.03081,-79.80979
208,35.07675,-78.84208
209,32.07506,-88.37595
210,32.17017,-84.05354
211,34.15263,-79.36567
212,32.6828,-90.6828
213,32.68372,-90.68404
214,33.10722,-94.39237
215,32.8868,-94.07459
216,32.99386,-81.84329
217,32.09459,-87.48083
218,31.77329,-93.35859
219,34.21575,-96.43368
220,33.55303,-82.32365
221,33.34749,-79.3385
222,32.97406,-81.93106
223,32.62699,-82.08498
224,32.6089,-90.826
225,31.84906,-90.18688
226,32.66414,-81.99159
227,32.82283,-85.22488
228,32.0155,-88.04485
229,31.98184,-87.6333
230,32.38484,-88.22893
231,31.999,-88.02692
232,32.62451,-81.53825
233,31.99609,-84.16005
234,31.8696,-90.7855
235,32.17425,-85.03311
236,33.2369,-80.38979
237,31.8789,-89.87311
238,31.78007,-93.65706
239,32.97495,-86.91658
240,31.72026,-89.74747
241,32.13203,-83.83086
242,34.27691,-95.13081
243,33.87911,-78.8443
244,32.75705,-80.53361
245,34.12044,-79.05931
246,32.70778,-82.00425
247,31.86981,-93.46825
248,31.87164,-87.7806
249,33.1142,-79.8058
250,33.3658,-79.50559
251,33.33158,-79.60178
252,32.80014,-80.39336
253,33.0796,-80.12951
254,31.9646,-89.5485
255,33.95858,-79.39971
256,34.23521,-95.57022
257,33.21112,-80.43929
258,32.99044,-79.83475
259,33.94841,-79.21479
260,31.7455,-88.94921
261,32.03814,-89.64257
262,31.97722,-89.35708
263,31.94901,-89.99499
264,31.79834,-89.62646
265,31.77193,-89.24219
266,31.68755,-89.54697
267,32.68138,-81.96642
268,32.8044,-89.91339
269,32.80535,-89.91503
270,32.8044,-89.91339
271,36.48788,-96.26219
272,36.48776,-96.26208
273,36.48783,-96.26206
274,33.13125,-79.92148
275,32.88489,-79.7909
276,32.8722,-80.12909
277,32.36894,-81.19366
278,34.0671,-78.5007
