id,address,city,state,zip,newzip,ziplat,ziplon,zip_geo_city,zip_status,lat,lon,time
75,1360 W 6TH STREET #220,SAN PEDRO,CA,90732-3547,90732,33.74,-118.32,San Pedro,ZIP5_uszipcode,33.739268,-118.30751,2020-08-20 21:58:29.907738
76,1245 WILSHIRE BLVD #2NDFL,LOS ANGELES,CA,90017-4810,90017,34.05,-118.26,Los Angeles,ZIP5_uszipcode,34.054231,-118.265854,2020-08-20 21:58:30.173312
77,1520 W 45TH STREET,LOS ANGELES,CA,90062-2001,90062,34.0,-118.31,Los Angeles,ZIP5_uszipcode,34.002569,-118.304222,2020-08-20 21:58:30.407642
78,5900 FIRESTONE BLVD,SOUTH GATE,CA,90280-3708,90280,33.94,-118.19,South Gate,ZIP5_uszipcode,33.946881,-118.159803,2020-08-20 21:58:30.641972
79,1512 S SANTA ANITA AVENUE,ARCADIA,CA,91006-4015,91006,34.13,-118.03,Arcadia,ZIP5_uszipcode,34.122469,-118.030551,2020-08-20 21:58:30.954415
80,2050 S BUNDY DRIVE #268,LOS ANGELES,CA,90025-6128,90025,34.05,-118.44,Los Angeles,ZIP5_uszipcode,34.033573,-118.45408,2020-08-20 21:58:31.266855
81,305 N SOTO STREET,LOS ANGELES,CA,90033-1862,90033,34.05,-118.21,Los Angeles,ZIP5_uszipcode,34.04727,-118.207893,2020-08-20 21:58:31.501193
82,1206 S WESTERN AVENUE,LOS ANGELES,CA,90006-3108,90006,34.05,-118.29,Los Angeles,ZIP5_uszipcode,34.04856,-118.30874,2020-08-20 21:58:31.766763
83,5208 W PICO BLVD SUITE #8,LOS ANGELES,CA,90019-4054,90019,34.05,-118.34,Los Angeles,ZIP5_uszipcode,34.047977,-118.351929,2020-08-20 21:58:32.079201
84,601 S FIGUEROA STREET SUITE #3540,LOS ANGELES,CA,90017-5740,90017,34.05,-118.26,Los Angeles,ZIP5_uszipcode,34.050776,-118.259285,2020-08-20 21:58:32.500998
85,623 N AVALON BLVD,WILMINGTON,CA,90744-5807,90744,33.78,-118.26,Wilmington,ZIP5_uszipcode,33.777628,-118.262517,2020-08-20 21:58:32.735328
86,19780 PACIFIC GATEWAY DRIVE,TORRANCE,CA,90502-1131,90502,33.83,-118.29,Torrance,ZIP5_uszipcode,33.85172,-118.294484,2020-08-20 21:58:33.000903
87,710 W 39TH STREET,SAN PEDRO,CA,90731-6941,90731,33.74,-118.27,San Pedro,ZIP5_uszipcode,33.709,-118.291836,2020-08-20 21:58:33.266479
88,14141 COVELLO STREET #10A,VAN NUYS,CA,91405-1448,91405,34.2,-118.45,Van Nuys,ZIP5_uszipcode,34.20817283,-118.44085017,2020-08-20 21:58:33.578918
89,2224 S PATTON AVENUE,SAN PEDRO,CA,90732-4454,90732,33.74,-118.32,San Pedro,ZIP5_uszipcode,33.723669,-118.305457,2020-08-20 21:58:33.844494
90,916 N SWEETZER AVENUE #4,LOS ANGELES,CA,90069-4376,90069,34.09,-118.38,West Hollywood,ZIP5_uszipcode,34.087634,-118.369967,2020-08-20 21:58:34.188179
91,425 KINGSFORD STREET,MONTEREY PARK,CA,91754-2608,91754,34.05,-118.15,Monterey Park,ZIP5_uszipcode,34.05721,-118.136878,2020-08-20 21:58:34.438131
92,20224 SHERMAN WAY #25,WINNETKA,CA,91306-3225,91306,34.21,-118.58,Winnetka,ZIP5_uszipcode,34.200047,-118.574397,2020-08-20 21:58:34.672474
93,9622 BEACH STREET,LOS ANGELES,CA,90002-2433,90002,33.95,-118.25,Los Angeles,ZIP5_uszipcode,33.94843533,-118.24174067,2020-08-20 21:58:35.000528
94,15720 VENTURA BLVD #512,ENCINO,CA,91436-4720,91436,34.15,-118.49,Encino,ZIP5_uszipcode,34.154991,-118.475721,2020-08-20 21:58:35.297345
95,6930 VANALDEN AVENUE,RESEDA,CA,91335-3931,91335,34.2,-118.54,Reseda,ZIP5_uszipcode,34.196633,-118.548827,2020-08-20 21:58:35.562920
96,14933 ALVA DRIVE,PACIFIC PALISADES,CA,90272-4402,90272,34.08,-118.54,Pacific Palisades,ZIP5_uszipcode,34.035807,-118.521703,2020-08-20 21:58:35.812873
97,1038 N LEMON STREET,ORANGE,CA,92867-5607,92867,33.81,-117.81,Orange,ZIP5_uszipcode,33.80486767,-117.85577283,2020-08-20 21:58:36.062826
98,4194 W 120TH STREET,HAWTHORNE,CA,90250-3148,90250,33.91,-118.35,Hawthorne,ZIP5_uszipcode,33.923389,-118.34805,2020-08-20 21:58:36.359646
99,721 GARLAND AVENUE,LOS ANGELES,CA,90017-4411,90017,34.05,-118.26,Los Angeles,ZIP5_uszipcode,34.051244,-118.267003,2020-08-20 21:58:36.609599
100,4818 CLEON AVENUE,N HOLLYWOOD,CA,91601-4645,91601,34.17,-118.37,North Hollywood,ZIP5_uszipcode,34.158219,-118.36776,2020-08-20 21:58:36.812684
101,130 S GARDNER STREET,LOS ANGELES,CA,90036-2718,90036,34.07,-118.35,Los Angeles,ZIP5_uszipcode,34.072572,-118.352926,2020-08-20 21:58:37.093882
102,1419 N POINSETTIA PLACE #304,LOS ANGELES,CA,90046-7801,90046,34.11,-118.37,Los Angeles,ZIP5_uszipcode,34.09645217,-118.34871217,2020-08-20 21:58:37.359457
103,14549 RYAN STREET,SYLMAR,CA,91342-2818,91342,34.3,-118.4,Sylmar,ZIP5_uszipcode,34.315336,-118.449663,2020-08-20 21:58:37.578165
104,4073 W PICO BLVD,LOS ANGELES,CA,90019-4308,90019,34.05,-118.34,Los Angeles,ZIP5_uszipcode,34.04786,-118.324336,2020-08-20 21:58:37.859363
105,6656 KLUMP AVENUE,N HOLLYWOOD,CA,91606-1963,91606,34.19,-118.39,North Hollywood,ZIP5_uszipcode,34.19184367,-118.3754075,2020-08-20 21:58:38.093692
106,22220 HORIZON PLACE,CHATSWORTH,CA,91311-1266,91311,34.3,-118.6,Chatsworth,ZIP5_uszipcode,34.274532,-118.612138,2020-08-20 21:58:38.359269
107,1425 SANTA FE AVENUE,LONG BEACH,CA,90813-1236,90813,33.78,-118.2,Long Beach,ZIP5_uszipcode,33.784294,-118.215819,2020-08-20 21:58:38.624843
108,15303 VENTURA BLVD SUITE #1100,SHERMAN OAKS,CA,91403-6621,91403,34.15,-118.46,Sherman Oaks,ZIP5_uszipcode,34.155497,-118.467526,2020-08-20 21:58:38.921667
109,11330 JELLICO AVENUE,GRANADA HILLS,CA,91344-3303,91344,34.29,-118.5,Granada Hills,ZIP5_uszipcode,34.276784,-118.517536,2020-08-20 21:58:39.140380
110,333 S HOPE STREET #2660,LOS ANGELES,CA,90071-3035,90071,34.053,-118.255,Los Angeles,ZIP5_uszipcode,34.053399,-118.253481,2020-08-20 21:58:39.437187
111,1154 S WILTON PLACE,LOS ANGELES,CA,90019-3540,90019,34.05,-118.34,Los Angeles,ZIP5_uszipcode,34.050160964775294,-118.31445795856729,2020-08-20 21:58:39.671521
112,13015 W WASHINGTON BLVD,LOS ANGELES,CA,90066-5123,90066,34.0,-118.43,Los Angeles,ZIP5_uszipcode,33.99455167,-118.44054,2020-08-20 21:58:39.905850
113,2416 W VERNON AVENUE,LOS ANGELES,CA,90008-4040,90008,34.01,-118.35,Los Angeles,ZIP5_uszipcode,34.003426,-118.319927,2020-08-20 21:58:40.140182
114,4972 W PICO BLVD SUITE #201,LOS ANGELES,CA,90019-4200,90019,34.05,-118.34,Los Angeles,ZIP5_uszipcode,34.047399,-118.345494,2020-08-20 21:58:40.405757
115,4735 BEVERLY BLVD,LOS ANGELES,CA,90004-3144,90004,34.08,-118.31,Los Angeles,ZIP5_uszipcode,34.076516,-118.312648,2020-08-20 21:58:40.655712
116,11411 CUMPSTON STREET #204,N HOLLYWOOD,CA,91601-2674,91601,34.17,-118.37,North Hollywood,ZIP5_uszipcode,34.16983667,-118.379565,2020-08-20 21:58:40.858796
117,6710 TUJUNGA AVENUE,N HOLLYWOOD,CA,91606-1934,91606,34.19,-118.39,North Hollywood,ZIP5_uszipcode,34.192858,-118.37876433,2020-08-20 21:58:41.093127
118,6662 TUJUNGA AVENUE,N HOLLYWOOD,CA,91606-1854,91606,34.19,-118.39,North Hollywood,ZIP5_uszipcode,34.1921035,-118.3787115,2020-08-20 21:58:41.296221
119,6640 TUJUNGA AVENUE,N HOLLYWOOD,CA,91606-1806,91606,34.19,-118.39,North Hollywood,ZIP5_uszipcode,34.191542666,-118.37895583,2020-08-20 21:58:41.639900
120,6632 TUJUNGA AVENUE,N HOLLYWOOD,CA,91606-1835,91606,34.19,-118.39,North Hollywood,ZIP5_uszipcode,34.19133567,-118.378733,2020-08-20 21:58:41.842986
121,6643 BAKMAN AVENUE,N HOLLYWOOD,CA,91606-1801,91606,34.19,-118.39,North Hollywood,ZIP5_uszipcode,34.19164117,-118.37813433,2020-08-20 21:58:42.108560
122,6647 BAKMAN AVENUE,N HOLLYWOOD,CA,91606-1827,91606,34.19,-118.39,North Hollywood,ZIP5_uszipcode,34.19164817,-118.3782605,2020-08-20 21:58:42.374136
123,6607 BAKMAN AVENUE,N HOLLYWOOD,CA,91606-1833,91606,34.19,-118.39,North Hollywood,ZIP5_uszipcode,34.191743,-118.378235,2020-08-20 21:58:42.592845
124,6650 BAKMAN AVENUE,N HOLLYWOOD,CA,91606-1863,91606,34.19,-118.39,North Hollywood,ZIP5_uszipcode,34.19191333,-118.37759833,2020-08-20 21:58:42.858418
125,6205 RANDOLPH STREET #A,COMMERCE,CA,90040-3514,90040,33.99,-118.15,Los Angeles,ZIP5_uszipcode,33.9800245,-118.15218367,2020-08-20 21:58:43.092760
126,6655 ELMER AVENUE,N HOLLYWOOD,CA,91606-1809,91606,34.19,-118.39,North Hollywood,ZIP5_uszipcode,34.19197,-118.37716833,2020-08-20 21:58:43.420821
127,2728 S HOBART BLVD,LOS ANGELES,CA,90018-3533,90018,34.03,-118.32,Los Angeles,ZIP5_uszipcode,34.02997517,-118.30775517,2020-08-20 21:58:43.670766
128,6637 ELMER AVENUE,N HOLLYWOOD,CA,91606-1803,91606,34.19,-118.39,North Hollywood,ZIP5_uszipcode,34.191441,-118.3769665,2020-08-20 21:58:43.951652
129,6724 ELMER AVENUE,N HOLLYWOOD,CA,91606-1940,91606,34.19,-118.39,North Hollywood,ZIP5_uszipcode,34.19285433,-118.3766,2020-08-20 21:58:44.192027
130,6650 ELMER AVENUE,N HOLLYWOOD,CA,91606-1845,91606,34.19,-118.39,North Hollywood,ZIP5_uszipcode,34.19190667,-118.37663,2020-08-20 21:58:44.452336
131,6634 ELMER AVENUE,N HOLLYWOOD,CA,91606-1841,91606,34.19,-118.39,North Hollywood,ZIP5_uszipcode,34.191929,-118.376558,2020-08-20 21:58:44.763518
132,11243 GLENOAKS BLVD #9,PACOIMA,CA,91331-7346,91331,34.26,-118.42,Pacoima,ZIP5_uszipcode,34.27392,-118.41292333,2020-08-20 21:58:44.985341
133,3301 BEVERLY BLVD,LOS ANGELES,CA,90004-6003,90004,34.08,-118.31,Los Angeles,ZIP5_uszipcode,34.073227,-118.284661,2020-08-20 21:58:45.235294
134,2037 LINCOLN PARK AVENUE,LOS ANGELES,CA,90031-2792,90031,34.08,-118.22,Los Angeles,ZIP5_uszipcode,34.068828,-118.202895,2020-08-20 21:58:45.485248
135,695 S VERMONT AVENUE #503,LOS ANGELES,CA,90005-1349,90005,34.06,-118.31,Los Angeles,ZIP5_uszipcode,34.060191,-118.291998,2020-08-20 21:58:45.766446
136,2300 S FLOWER STREET #303,LOS ANGELES,CA,90007-2677,90007,34.03,-118.28,Los Angeles,ZIP5_uszipcode,34.029573,-118.272387,2020-08-20 21:58:46.032019
